content,n_words,clean,count_clean,review_without_stopwords,count_without_stopwords
"well, it is very useful because you can consult 24/7, but maybe because there are many who consult, the response is very slow and they want to finish quickly. but i am very grateful, this saved my life in an emergency.",41,well it is very useful because you can consult but maybe because there are many who consult the response is very slow and they want to finish quickly but  am very grateful this saved my life in an emergency,39,well useful consult maybe many consult response slow want finish quickly grateful saved life emergency,15
very easy,2,very easy,2,easy,1
"for this pandemic period, or in the future for people who urgently need to consult a doctor, this could be an option. good job, doc. thanks 😇 gbu",28,for this pandemic period or in the future for people who urgently need to consult  doctor this could be an option good job doc thanks gbu,26,pandemic period future people urgently consult doctor could option good job doc thanks gbu,14
good app,2,good app,2,good app,2
yolo,1,yolo,1,yolo,1
good experience,2,good experience,2,good experience,2
apps are very helpful during the pandemic,7,apps are very helpful during the pandemic,7,apps helpful pandemic,3
very helpful and useful,4,very helpful and useful,4,helpful useful,2
very helpful when we are confused about the medicine we are looking for and can't find it at the nearest pharmacy,21,very helpful when we are confused about the medicine we are looking for and cant find it at the nearest pharmacy,21,helpful confused medicine looking cant find nearest pharmacy,8
the doctor's chat service is fast,6,the doctors chat service is fast,6,doctors chat service fast,4
quick cheap and easy if you want medical help fast,10,quick cheap and easy if you want medical help fast,10,quick cheap easy want medical help fast,7
transaction history bug + reschedule,5,transaction history bug reschedule,4,transaction history bug reschedule,4
extraordinary.....,1,extraordinary,1,extraordinary,1
"the q&a session with the doctor was not satisfactory because of the time constraints, while the doctor was also not fast in responding. so the patient did not finish asking about the complaint and had not even been given any prescription.",41,the qa session with the doctor was not satisfactory because of the time constraints while the doctor was also not fast in responding so the patient did not finish asking about the complaint and had not even been given any prescription,41,qa session doctor satisfactory time constraints doctor also fast responding patient finish asking complaint even given prescription,17
fast and easy👍,3,fast and easy,3,fast easy,2
good response,2,good response,2,good response,2
"very helpful, thanks..",3,very helpful thanks,3,helpful thanks,2
very helpful,2,very helpful,2,helpful,1
great app...user friendly,3,great friendly,2,great friendly,2
okay. quite helpful for something urgent,6,okay quite helpful for something urgent,6,okay quite helpful something urgent,5
"thank you, solved.",3,thank you solved,3,thank solved,2
very easy,2,very easy,2,easy,1
"just tried it for the first time, it works well, especially during this pandemic, so you don't need to leave the house",22,just tried it for the first time it works well especially during this pandemic so you dont need to leave the house,22,tried first time works well especially pandemic dont leave house,10
helpful,1,helpful,1,helpful,1
"easy, cheap and fast",4,easy cheap and fast,4,easy cheap fast,3
helpful,1,helpful,1,helpful,1
very helpful,2,very helpful,2,helpful,1
good,1,good,1,good,1
easy to use and very helpful,6,easy to use and very helpful,6,easy use helpful,3
very helpful,2,very helpful,2,helpful,1
"its easy to use., help us to get the health",10,its easy to use help us to get the health,10,easy use help us get health,6
very helpful in health consultations without having to leave the house #stayathome,12,very helpful in health consultations without having to leave the house stayathome,12,helpful health consultations without leave house stayathome,7
i like the app ❤️,5, like the app,3,like app,2
fast doctor response & fast onat delivery,7,fast doctor response fast onat delivery,6,fast doctor response fast onat delivery,6
"thank you for your fast response,",6,thank you for your fast response,6,thank fast response,3
excellent..,1,excellent,1,excellent,1
gooooooooods,1,gooooooooods,1,gooooooooods,1
orders always fail. cart empty. i think it's still have too many bugs. better integrated with gojek than this.,19,orders always fail cart empty  think its still have too many bugs better integrated with gojek than this,18,orders always fail cart empty think many bugs better integrated gojek,11
helpful,1,helpful,1,helpful,1
what a great app! no hassle and very accurate thank you,11,what  great app no hassle and very accurate thank you,10,great app hassle accurate thank,5
very good,2,very good,2,good,1
very helpful in the midst of the pandemic,8,very helpful in the midst of the pandemic,8,helpful midst pandemic,3
"helpful in the moment of social distancing, hopefully the drivers are protected from the pandemic",15,helpful in the moment of social distancing hopefully the drivers are protected from the pandemic,15,helpful moment social distancing hopefully drivers protected pandemic,8
very helpful in urgent situations,5,very helpful in urgent situations,5,helpful urgent situations,3
"i had a stomach ache at 3 am, i didn't know where to find medicine because i was vomiting, but thank god there was the halodoc app, in less than 30 minutes the driver arrived with the medicine. thank god",40, had  stomach ache at am  didnt know where to find medicine because  was vomiting but thank god there was the halodoc app in less than minutes the driver arrived with the medicine thank god,34,stomach ache didnt know find medicine vomiting thank god halodoc app less minutes driver arrived medicine thank god,18
love this app.. the doctors are really helpful,8,love this app the doctors are really helpful,8,love app doctors really helpful,5
the worst part is when it comes to searching for the drug store,13,the worst part is when it comes to searching for the drug store,13,worst part comes searching drug store,6
can't see transaction history,4,cant see transaction history,4,cant see transaction history,4
so useful and easy to use,6,so useful and easy to use,6,useful easy use,3
"unfortunately, there is no cooperation with bpjs regarding drug costs.",10,unfortunately there is no cooperation with bpjs regarding drug costs,10,unfortunately cooperation bpjs regarding drug costs,6
very helpful,2,very helpful,2,helpful,1
very helpful,2,very helpful,2,helpful,1
awesome !! fast response,4,awesome fast response,3,awesome fast response,3
hope there is a fixed price for each drug not using a range,13,hope there is  fixed price for each drug not using  range,11,hope fixed price drug using range,6
doctors are responsive and very helpful during the pandemic,9,doctors are responsive and very helpful during the pandemic,9,doctors responsive helpful pandemic,4
"very helpful, very very helpful. always be successful halodoc.",9,very helpful very very helpful always be successful halodoc,9,helpful helpful always successful halodoc,5
satisfying,1,satisfying,1,satisfying,1
seriously helping. to whomever created this app : god bless you.,11,seriously helping to whomever created this app god bless you,10,seriously helping whomever created app god bless,7
"wow, this is the first time i'm not afraid to meet a doctor, hehehe. nice app!!",16,wow this is the first time im not afraid to meet  doctor hehehe nice app,15,wow first time im afraid meet doctor hehehe nice app,10
"great, fast service and first time is free, highly recommended",10,great fast service and first time is free highly recommended,10,great fast service first time free highly recommended,8
very helpfull.. thanks a lot halodoc,6,very helpfull thanks  lot halodoc,5,helpfull thanks lot halodoc,4
"hi min, i want to ask.. why do payments using gopay always fail now? the gopay balance has been filled, but the transaction always fails. even though previously i could always pay using gopay. thank you",36,hi min  want to ask why do payments using gopay always fail now the gopay balance has been filled but the transaction always fails even though previously  could always pay using gopay thank you,34,hi min want ask payments using gopay always fail gopay balance filled transaction always fails even though previously could always pay using gopay thank,24
very easy,2,very easy,2,easy,1
very usefull,2,very usefull,2,usefull,1
very helpful especially in the current conditions,7,very helpful especially in the current conditions,7,helpful especially current conditions,4
very helpful in finding a panacea,6,very helpful in finding  panacea,5,helpful finding panacea,3
nice app,2,nice app,2,nice app,2
you can consult various complaints of illness easily. many choices of doctors.,12,you can consult various complaints of illness easily many choices of doctors,12,consult various complaints illness easily many choices doctors,8
recommended,1,recommended,1,recommended,1
"the delivery that should have been 1-4 days, has not been sent until the 5th day. from june 18, 2021 (5n172p-2784). with the reason that the goods are not available. there is no team to follow up / notify for pending orders. very disappointing. i have chatted with customer service twice but cs only checks the status and tells me to wait 1-4 days. very not helpful. it's better to resign and look for work elsewhere. i hope halodoc's service is improved. even though if it is sent instantly, the medicine is available. very strange",95,the delivery that should have been days has not been sent until the th day from june np with the reason that the goods are not available there is no team to follow up notify for pending orders very disappointing  have chatted with customer service twice but cs only checks the status and tells me to wait days very not helpful its better to resign and look for work elsewhere  hope halodocs service is improved even though if it is sent instantly the medicine is available very strange,88,delivery days sent th day june np reason goods available team follow notify pending orders disappointing chatted customer service twice cs checks status tells wait days helpful better resign look work elsewhere hope halodocs service improved even though sent instantly medicine available strange,43
very helpful indeed,3,very helpful indeed,3,helpful indeed,2
"please fix the complete shipping address column from the customer app visible to the driver because often the shipping address does not match the point and the complete address is not visible in the driver app. many have complained about the same thing, please pay attention. this medicine is very important for patients, don't let it go undelivered due to misunderstandings between drivers and customers because the address is not readable by the driver. sometimes the medicine is picked up and delivered by the driver from a fairly long distance...",90,please fix the complete shipping address column from the customer app visible to the driver because often the shipping address does not match the point and the complete address is not visible in the driver app many have complained about the same thing please pay attention this medicine is very important for patients dont let it go undelivered due to misunderstandings between drivers and customers because the address is not readable by the driver sometimes the medicine is picked up and delivered by the driver from  fairly long distance,89,please fix complete shipping address column customer app visible driver often shipping address match point complete address visible driver app many complained thing please pay attention medicine important patients dont let go undelivered due misunderstandings drivers customers address readable driver sometimes medicine picked delivered driver fairly long distance,48
"steady, sul",2,steady sul,2,steady sul,2
very helpful,2,very helpful,2,helpful,1
good service,2,good service,2,good service,2
very helpful health information,4,very helpful health information,4,helpful health information,3
nice,1,nice,1,nice,1
the solution for complete and safe doctor consultations,8,the solution for complete and safe doctor consultations,8,solution complete safe doctor consultations,5
"always there wherever i need medicine immediately, fast delivery to cure my health problem!",14,always there wherever  need medicine immediately fast delivery to cure my health problem,13,always wherever medicine immediately fast delivery cure health problem,9
very helpful for emergency purposes if you need medical assistance,10,very helpful for emergency purposes if you need medical assistance,10,helpful emergency purposes medical assistance,5
very good and very helpful. and the consultation with the doctor directly is very helpful. thank you very much,19,very good and very helpful and the consultation with the doctor directly is very helpful thank you very much,19,good helpful consultation doctor directly helpful thank much,8
jos is very helpful,4,jos is very helpful,4,jos helpful,2
very helpful,2,very helpful,2,helpful,1
helpfully,1,helpfully,1,helpfully,1
good app,2,good app,2,good app,2
very integrated apps. really helpful... ❤,6,very integrated apps really helpful,5,integrated apps really helpful,4
fast response,2,fast response,2,fast response,2
"it helped me a lot. fast responses, medicines, doctors are pretty fast responses. didn't need to go out just stay at home then the medicine arrived",26,it helped me  lot fast responses medicines doctors are pretty fast responses didnt need to go out just stay at home then the medicine arrived,25,helped lot fast responses medicines doctors pretty fast responses didnt go stay home medicine arrived,15
i am very satisfied using halodoc.,6, am very satisfied using halodoc,5,satisfied using halodoc,3
very helpful,2,very helpful,2,helpful,1
fast and the doctor is thorough.,6,fast and the doctor is thorough,6,fast doctor thorough,3
the doctor is friendly and his explanations are clear...,9,the doctor is friendly and his explanations are clear,9,doctor friendly explanations clear,4
fast and good response,4,fast and good response,4,fast good response,3
very helpful app,3,very helpful app,3,helpful app,2
"this application is very helpful for medical consultation during the pandemic. moreover, now there is a veterinarian feature. the consultation price is also very affordable. thx halodoc..",27,this application is very helpful for medical consultation during the pandemic moreover now there is  veterinarian feature the consultation price is also very affordable thx halodoc,26,application helpful medical consultation pandemic moreover veterinarian feature consultation price also affordable thx halodoc,14
"gopay payment successful, but the balance goes back, it's not clear",11,gopay payment successful but the balance goes back its not clear,11,gopay payment successful balance goes back clear,7
good application,2,good application,2,good application,2
"good, and fast",3,good and fast,3,good fast,2
great app,2,great app,2,great app,2
"at first they helped me buy medicine, but the further i went on, the weirder it got. when i wanted to buy over-the-counter medicine for the flu, i had to upload a doctor's prescription too.",35,at first they helped me buy medicine but the further  went on the weirder it got when  wanted to buy overthecounter medicine for the flu  had to upload  doctors prescription too,31,first helped buy medicine went weirder got wanted buy overthecounter medicine flu upload doctors prescription,15
very helpful when you want to chat with a doctor or need medicine.,13,very helpful when you want to chat with  doctor or need medicine,12,helpful want chat doctor medicine,5
good app,2,good app,2,good app,2
"if you've just registered, give a free chat to dr. specialist... just once. don't be told to pay straight away.",20,if youve just registered give  free chat to dr specialist just once dont be told to pay straight away,19,youve registered give free chat dr specialist dont told pay straight away,12
it would be better if there was information about the availability of the item before we put it in the cart.,21,it would be better if there was information about the availability of the item before we put it in the cart,21,better information availability item put cart,6
why do you keep getting errors when you want to buy medicine? so i can't buy it even though it's for the isolation needs of covid patients,27,why do you keep getting errors when you want to buy medicine so  cant buy it even though its for the isolation needs of covid patients,26,keep getting errors want buy medicine cant buy even though isolation needs covid patients,14
"great app, great doc",4,great app great doc,4,great app great doc,4
"its helpful, flexible, and simple. love it!",7,its helpful flexible and simple love it,7,helpful flexible simple love,4
very helpful 👍👍,3,very helpful,2,helpful,1
end up uninstalling this app,5,end up uninstalling this app,5,end uninstalling app,3
simple and very solution-oriented amidst limitations,6,simple and very solutionoriented amidst limitations,6,simple solutionoriented amidst limitations,4
"the doctor was quick to respond, didn't take too long to reply, sometimes he waited for me to finish typing, it really helps mothers when they panic at home alone at night 😁",33,the doctor was quick to respond didnt take too long to reply sometimes he waited for me to finish typing it really helps mothers when they panic at home alone at night,32,doctor quick respond didnt take long reply sometimes waited finish typing really helps mothers panic home alone night,18
"poor support service, very slow no response, old medicine orders always fail with the message ""try again""",17,poor support service very slow no response old medicine orders always fail with the message try again,17,poor support service slow response old medicine orders always fail message try,12
thank you very much to halodoc for the detailed explanation regarding my and my family's health.,16,thank you very much to halodoc for the detailed explanation regarding my and my familys health,16,thank much halodoc detailed explanation regarding familys health,8
"12 midnight, thank god, i don't need to go to the emergency room for a consultation... i just open my cellphone and ask the online doctor... thanks halodoc",28,midnight thank god  dont need to go to the emergency room for  consultation  just open my cellphone and ask the online doctor thanks halodoc,24,midnight thank god dont go emergency room consultation open cellphone ask online doctor thanks halodoc,15
great,1,great,1,great,1
the best!,2,the best,2,best,1
okay,1,okay,1,okay,1
very helpful,2,very helpful,2,helpful,1
its so good..,3,its so good,3,good,1
no need to leave the house....,6,no need to leave the house,6,leave house,2
great app,2,great app,2,great app,2
"it's so bad that orders are repeatedly canceled unilaterally because there is no driver. there is also nothing in the transaction history so i can't report it. meanwhile, my discount voucher is gone.",33,its so bad that orders are repeatedly canceled unilaterally because there is no driver there is also nothing in the transaction history so  cant report it meanwhile my discount voucher is gone,32,bad orders repeatedly canceled unilaterally driver also nothing transaction history cant report meanwhile discount voucher gone,16
easy to find the medicine i need.,7,easy to find the medicine  need,6,easy find medicine,3
this app sucks. 10 gojek contacts me in a day. even though someone has already delivered. and my order is no longer on my app. so i can't cancel,29,this app sucks gojek contacts me in  day even though someone has already delivered and my order is no longer on my app so  cant cancel,26,app sucks gojek contacts day even though already delivered order longer app cant cancel,14
it's helpfull for simply plaint...,5,its helpfull for simply plaint,5,helpfull simply plaint,3
very helpful. thank you 😊,5,very helpful thank you,4,helpful thank,2
"usefull apps, really usefull, thank youu",6,usefull apps really usefull thank youu,6,usefull apps really usefull thank youu,6
"i swear i'm annoyed, the checkout keeps failing, i've chatted with cs, when cs asked, they suddenly logged me out, it's unclear. who can i ask for help like this! what's more, it hurts. that's it. it's been solved, just notified, thank you",43, swear im annoyed the checkout keeps failing ive chatted with cs when cs asked they suddenly logged me out its unclear who can  ask for help like this whats more it hurts thats it its been solved just notified thank you,41,swear im annoyed checkout keeps failing ive chatted cs cs asked suddenly logged unclear ask help like whats hurts thats solved notified thank,23
"pcr swab test was taken on d+1, late on d+2. called the clinic, thrown to halodoc. 2 halodoc contacts are hard to reach, it's a waste.",26,pcr swab test was taken on  late on  called the clinic thrown to halodoc halodoc contacts are hard to reach its  waste,22,pcr swab test taken late called clinic thrown halodoc halodoc contacts hard reach waste,14
quick way to consult a doctor and buy medicine,9,quick way to consult  doctor and buy medicine,8,quick way consult doctor buy medicine,6
"1. good... please make the address manually editable, because if it is automatic from the digital map it always goes to the neighbor's number, it's a shame for the courier to ask questions first because of the wrong address. 2. is my comment no. 1 read by the developer or by the answering robot?",54,good please make the address manually editable because if it is automatic from the digital map it always goes to the neighbors number its  shame for the courier to ask questions first because of the wrong address is my comment no read by the developer or by the answering robot,50,good please make address manually editable automatic digital map always goes neighbors number shame courier ask questions first wrong address comment read developer answering robot,25
best apps for interaction with doctors,6,best apps for interaction with doctors,6,best apps interaction doctors,4
"useful, helpful",2,useful helpful,2,useful helpful,2
user friendly,2,user friendly,2,user friendly,2
good service,2,good service,2,good service,2
very helpful ❤,3,very helpful,2,helpful,1
"awesome, very helpful, advanced system, responsive, affordable",7,awesome very helpful advanced system responsive affordable,7,awesome helpful advanced system responsive affordable,6
love this app. very helpful. altho the medicine is quite expensive but it's worth it since the doctor consultation is free.,21,love this app very helpful altho the medicine is quite expensive but its worth it since the doctor consultation is free,21,love app helpful altho medicine quite expensive worth since doctor consultation free,12
great experience,2,great experience,2,great experience,2
the doctor was very responsive and attentive.,7,the doctor was very responsive and attentive,7,doctor responsive attentive,3
awesome and fast response and easy medicine purchase + delivery,10,awesome and fast response and easy medicine purchase delivery,9,awesome fast response easy medicine purchase delivery,7
cool. very useful.,3,cool very useful,3,cool useful,2
"bad application, can't enter the chat room even though i've paid. just a waste of money",16,bad application cant enter the chat room even though ive paid just  waste of money,15,bad application cant enter chat room even though ive paid waste money,12
the best,2,the best,2,best,1
very helpful during this pandemic,5,very helpful during this pandemic,5,helpful pandemic,2
good,1,good,1,good,1
this app is very helpful when you are sick and don't have time to go to the doctor. thank you halodoc🙏,21,this app is very helpful when you are sick and dont have time to go to the doctor thank you halodoc,21,app helpful sick dont time go doctor thank halodoc,9
great app,2,great app,2,great app,2
wow,1,wow,1,wow,1
very efficient,2,very efficient,2,efficient,1
good for emergency,3,good for emergency,3,good emergency,2
"very disappointed with the halodoc cs service, where i felt like a ball being passed here and there just to take care of the refund funds.",26,very disappointed with the halodoc cs service where  felt like  ball being passed here and there just to take care of the refund funds,24,disappointed halodoc cs service felt like ball passed take care refund funds,12
"doctor consultation is very useful, the doctor also gives medicine according to the condition. thanks halodoc",16,doctor consultation is very useful the doctor also gives medicine according to the condition thanks halodoc,16,doctor consultation useful doctor also gives medicine according condition thanks halodoc,11
very helpful,2,very helpful,2,helpful,1
"better than government-partnered apps in several ways: 1. fast doctor response. if it's slow, the doctor asks to be called 2. connect with the doctor faster 3. detailed explanation 4. patient chat is not disabled while explaining the complaint, so the delivery of information is more effective and efficient",49,better than governmentpartnered apps in several ways fast doctor response if its slow the doctor asks to be called connect with the doctor faster detailed explanation patient chat is not disabled while explaining the complaint so the delivery of information is more effective and efficient,45,better governmentpartnered apps several ways fast doctor response slow doctor asks called connect doctor faster detailed explanation patient chat disabled explaining complaint delivery information effective efficient,26
this application is very helpful😊😊,5,this application is very helpful,5,application helpful,2
very helpful! thank you so much... ❤️,7,very helpful thank you so much,6,helpful thank much,3
cool,1,cool,1,cool,1
practical and can be connected to insurance👍,7,practical and can be connected to insurance,7,practical connected insurance,3
gooddd,1,gooddd,1,gooddd,1
very helpful,2,very helpful,2,helpful,1
very helpful,2,very helpful,2,helpful,1
"fast response, good price and fast delivery for medicine too. you deserve to get 5 stars",16,fast response good price and fast delivery for medicine too you deserve to get stars,15,fast response good price fast delivery medicine deserve get stars,10
good application for all ages,5,good application for all ages,5,good application ages,3
really usefull and trusted app.,5,really usefull and trusted app,5,really usefull trusted app,4
,0,,0,,0
very helpful when needed.,4,very helpful when needed,4,helpful needed,2
,0,,0,,0
"easy to use, fast response.",5,easy to use fast response,5,easy use fast response,4
"fast response but the application can still be developed, thank you",11,fast response but the application can still be developed thank you,11,fast response application developed thank,5
easy to install and simple. the doctor responded quickly. very helpful. thank you,13,easy to install and simple the doctor responded quickly very helpful thank you,13,easy install simple doctor responded quickly helpful thank,8
excellent!,1,excellent,1,excellent,1
thank you. very useful for me.,6,thank you very useful for me,6,thank useful,2
good,1,good,1,good,1
very helpful during the covid pandemic,6,very helpful during the covid pandemic,6,helpful covid pandemic,3
"great, very useful!!",3,great very useful,3,great useful,2
very helpful indeed,3,very helpful indeed,3,helpful indeed,2
very helpful,2,very helpful,2,helpful,1
"very helpful, just a bit complicated with payments because there are only two ewallet options",15,very helpful just  bit complicated with payments because there are only two ewallet options,14,helpful bit complicated payments two ewallet options,7
very helpful,2,very helpful,2,helpful,1
"great app. especially during a pandemic like this that makes people hesitate to go to the hospital when they are sick. for medicine, maybe a better partner can be found because the price of the prescribed medicine is far from the het.",42,great app especially during  pandemic like this that makes people hesitate to go to the hospital when they are sick for medicine maybe  better partner can be found because the price of the prescribed medicine is far from the het,40,great app especially pandemic like makes people hesitate go hospital sick medicine maybe better partner found price prescribed medicine far het,21
"all fulfilled by the consul, purchase of medicine and complaints were immediately resolved",13,all fulfilled by the consul purchase of medicine and complaints were immediately resolved,13,fulfilled consul purchase medicine complaints immediately resolved,7
the explanation is clear,4,the explanation is clear,4,explanation clear,2
"in the advertisement, it says free chat with a doctor. but it turns out you have to pay, even though the price is still not expensive. but it doesn't match the advertisement.",32,in the advertisement it says free chat with  doctor but it turns out you have to pay even though the price is still not expensive but it doesnt match the advertisement,31,advertisement says free chat doctor turns pay even though price expensive doesnt match advertisement,14
it helps so much,4,it helps so much,4,helps much,2
give up,2,give up,2,give,1
may we always provide the best service & always be in the forefront,13,may we always provide the best service always be in the forefront,12,may always provide best service always forefront,7
"it is very helpful when you are sick and need medicine, there are drivers who can help you find medicine.",20,it is very helpful when you are sick and need medicine there are drivers who can help you find medicine,20,helpful sick medicine drivers help find medicine,7
the current ui/ux is terrible! the previous one was much better and easier.,13,the current uiux is terrible the previous one was much better and easier,13,current uiux terrible previous one much better easier,8
mantul & manji anyway 😌👍,5,mantul manji anyway,3,mantul manji anyway,3
okay...,1,okay,1,okay,1
very helpful,2,very helpful,2,helpful,1
okay,1,okay,1,okay,1
"first time using this application to check my child who has skin problems, with dr. junia, fast response, very clear, affordable price, and of course the medicine can be bought anywhere. thank you.",33,first time using this application to check my child who has skin problems with dr junia fast response very clear affordable price and of course the medicine can be bought anywhere thank you,33,first time using application check child skin problems dr junia fast response clear affordable price course medicine bought anywhere thank,20
excellent,1,excellent,1,excellent,1
good service.,2,good service,2,good service,2
the answer to the question is like an elementary school kid lol,12,the answer to the question is like an elementary school kid lol,12,answer question like elementary school kid lol,7
great app,2,great app,2,great app,2
"can't register, error log. hi3. hopefully it will be fixed soon",11,cant register error log hi hopefully it will be fixed soon,11,cant register error log hi hopefully fixed soon,8
very helpful,2,very helpful,2,helpful,1
very helpful during the pandemic,5,very helpful during the pandemic,5,helpful pandemic,2
"reliable apps for initial consultation with a doctor. nice user interface, easy peasy process. keep up the good work",19,reliable apps for initial consultation with  doctor nice user interface easy peasy process keep up the good work,18,reliable apps initial consultation doctor nice user interface easy peasy process keep good work,14
very helpful app 👍,4,very helpful app,3,helpful app,2
"""1. be careful with this app."" ""2. please send my money back !!"" maybe the application is really helpful, but the service is really really bad. i have to cancel my order because waiting too long, but it still deducts my balance on my debit card and doesn't return it to my balance. i hope you don't use this application.",60,be careful with this app please send my money back maybe the application is really helpful but the service is really really bad  have to cancel my order because waiting too long but it still deducts my balance on my debit card and doesnt return it to my balance  hope you dont use this application,55,careful app please send money back maybe application really helpful service really really bad cancel order waiting long deducts balance debit card doesnt return balance hope dont use application,29
"sometimes where is the address, he looks for the pharmacy in a far away area, poor gojek driver, he should look for the nearest pharmacy from the location",28,sometimes where is the address he looks for the pharmacy in  far away area poor gojek driver he should look for the nearest pharmacy from the location,27,sometimes address looks pharmacy far away area poor gojek driver look nearest pharmacy location,14
lovely application for supporting your health,6,lovely application for supporting your health,6,lovely application supporting health,4
"keep improving, okay?",3,keep improving okay,3,keep improving okay,3
the doctor was really helpful when i managed to make an appointment for chat. but to successfully get the appointment was very difficult. likewise if there are questions for cs. it can't be done for emergencies.,36,the doctor was really helpful when  managed to make an appointment for chat but to successfully get the appointment was very difficult likewise if there are questions for cs it cant be done for emergencies,35,doctor really helpful managed make appointment chat successfully get appointment difficult likewise questions cs cant done emergencies,17
"fast, good communication by doctors",5,fast good communication by doctors,5,fast good communication doctors,4
buying simplified prescriptions,3,buying simplified prescriptions,3,buying simplified prescriptions,3
payment experience could be better and the variety of drugs needed too,12,payment experience could be better and the variety of drugs needed too,12,payment experience could better variety drugs needed,7
very useful.. just ordered a pack of masks.. thx..,9,very useful just ordered  pack of masks thx,8,useful ordered pack masks thx,5
the application asked me to re-consult regarding the doctor's prescription when ordering medicine even though i had been given a prescription by the doctor 10 minutes ago.,27,the application asked me to reconsult regarding the doctors prescription when ordering medicine even though  had been given  prescription by the doctor minutes ago,24,application asked reconsult regarding doctors prescription ordering medicine even though given prescription doctor minutes ago,15
helping,1,helping,1,helping,1
help me a lot thank you,6,help me  lot thank you,5,help lot thank,3
easy to use and very functional,6,easy to use and very functional,6,easy use functional,3
super recommended app,3,super recommended app,3,super recommended app,3
on time. reliable. i am hooked!,6,on time reliable  am hooked,5,time reliable hooked,3
"i thought this application could help, but it turned out to be a hassle. if the clinic is closed, the payment process should not be continued. this payment was processed but when i arrived, the clinic was closed, and there was no further information after the payment was made. the refund process is also long, if it's an emergency and the money is only that much, it's a hassle, chatting with cs also takes a long time to reply. painful.",80, thought this application could help but it turned out to be  hassle if the clinic is closed the payment process should not be continued this payment was processed but when  arrived the clinic was closed and there was no further information after the payment was made the refund process is also long if its an emergency and the money is only that much its  hassle chatting with cs also takes  long time to reply painful,75,thought application could help turned hassle clinic closed payment process continued payment processed arrived clinic closed information payment made refund process also long emergency money much hassle chatting cs also takes long time reply painful,35
"i bought milk for my child via gomed, then was directed to the halodoc application. i thought i would immediately purchase the goods like on gofood. after i finished making the payment, it turned out that the estimated arrival was 2 days. this application does not provide information on which store to go to, cannot track where the goods have arrived, and there was no agreement that the goods would be sent 2 days later. and it turned out that the goods only arrived after 5 days. ordered on the 9th, arrived on the 14th. thank you halodoc",98, bought milk for my child via gomed then was directed to the halodoc application  thought  would immediately purchase the goods like on gofood after  finished making the payment it turned out that the estimated arrival was days this application does not provide information on which store to go to cannot track where the goods have arrived and there was no agreement that the goods would be sent days later and it turned out that the goods only arrived after days ordered on the th arrived on the th thank you halodoc,91,bought milk child via gomed directed halodoc application thought immediately purchase goods like gofood finished making payment turned estimated arrival days application provide information store go cannot track goods arrived agreement goods sent days later turned goods arrived days ordered th arrived th thank halodoc,45
very helpful for ordering medicine and consultation,7,very helpful for ordering medicine and consultation,7,helpful ordering medicine consultation,4
very helpful if we are sick and there is no one else to help,14,very helpful if we are sick and there is no one else to help,14,helpful sick one else help,5
thank you halodoc.. the order arrived as planned.,8,thank you halodoc the order arrived as planned,8,thank halodoc order arrived planned,5
very helpful and the doctors in this app are really professional. thank you halodoc,14,very helpful and the doctors in this app are really professional thank you halodoc,14,helpful doctors app really professional thank halodoc,7
nice...,1,nice,1,nice,1
very helpful. satisfactory service. continued success halodoc.,7,very helpful satisfactory service continued success halodoc,7,helpful satisfactory service continued success halodoc,6
excellent,1,excellent,1,excellent,1
good,1,good,1,good,1
"it really helps when it's important and for payment issues it's really easy because it's with gopay. good apps, thank you very much. it's just that sometimes the doctor is quite slow to respond, no problem as long as they reply.",41,it really helps when its important and for payment issues its really easy because its with gopay good apps thank you very much its just that sometimes the doctor is quite slow to respond no problem as long as they reply,41,really helps important payment issues really easy gopay good apps thank much sometimes doctor quite slow respond problem long reply,20
awesome.,1,awesome,1,awesome,1
good app and very helpful,5,good app and very helpful,5,good app helpful,3
"short answer, i hope what the doctor suggests can help you recover.",12,short answer  hope what the doctor suggests can help you recover,11,short answer hope doctor suggests help recover,7
good,1,good,1,good,1
"verification is never possible, it already matches the id card even though. the technology is not used properly",18,verification is never possible it already matches the id card even though the technology is not used properly,18,verification never possible already matches id card even though technology used properly,12
good,1,good,1,good,1
"not being able to update my profile, therefore couldn't make an order",12,not being able to update my profile therefore couldnt make an order,12,able update profile therefore couldnt make order,7
at first this application helped. but now it is very slow and detrimental. because you have to pay in advance. the doctor answers after we pay the bill. even though the doctor sometimes can't answer.,35,at first this application helped but now it is very slow and detrimental because you have to pay in advance the doctor answers after we pay the bill even though the doctor sometimes cant answer,35,first application helped slow detrimental pay advance doctor answers pay bill even though doctor sometimes cant answer,17
a very usefull apps!,4, very usefull apps,3,usefull apps,2
very helpful during a pandemic like this👍,7,very helpful during  pandemic like this,6,helpful pandemic like,3
fast response apps,3,fast response apps,3,fast response apps,3
very helpful indeed,3,very helpful indeed,3,helpful indeed,2
very good,2,very good,2,good,1
"easy to use and also very helpful. payment is no hassle and haven't had an issue since, keep it up!",20,easy to use and also very helpful payment is no hassle and havent had an issue since keep it up,20,easy use also helpful payment hassle havent issue since keep,10
so far so good,4,so far so good,4,far good,2
great doctor. thanks,3,great doctor thanks,3,great doctor thanks,3
ok very helpful,3,ok very helpful,3,ok helpful,2
